1,Tienda Sofia,no,si,diariamente,si,10,7,si,si,si,"Beneficios economicos, beneficios al cliente, que se abra la mente al cliente, innovador"
2,Tienda Johanita,no,no,no,no,4,3,si,si,si,Ninguna
3,Los Acasos,no,si,no,no,1,2,si,no,no,"Acompañar la contabilidad, capacitar"
4,,no,no,no,no,7,7,si,no,si,Inventarios
5,Tienda Prosperidad,no,si,mensualmente,no,10,10,si,si,si,Llevar el inventario. Que productos ha vendido y que no.
6,Panaderia Bumanguesa,no,si,diariamente,si,7,6,si,si,si,"llevar el registro de ventas, gastos"
7,Surtimercado Yuliana,no,si,mensualmente,si,3,5,si,si,si,"Adecuado registro, organizacion de datos, analisis de los elementos, identificar productos, inventario, aviso de productos que hacen falta o recibos a pagar, calendario."
8,Tienda Ramón,no,si,diariamente,no,10,10,no,no,si,Ninguna
9,Lizpan,no,si,no,no,8,8,no,no,si,Que sea facil de llevar la contabilidad
10,Panaderia la especial,no,si,no,no,8,10,si,no,si,"Publicidad, seguridad"
